Business Line (group),Business Line,Date Prefix,Adjustments Outcome,No-Adjustments Value,Date,Date (group),Description1,Revenue and Expense Type,Year,Value
B&T,Bridges and Tunnels,,113.837,113.837,1/1/2007, ,Payroll,Labor Expense,2007,113.837
B&T,Bridges and Tunnels,,25.146,25.146,1/1/2007, ,Overtime,Labor Expense,2007,25.146
B&T,Bridges and Tunnels,,18.415,18.415,1/1/2007, ,Health and Welfare,Labor Expense,2007,18.415
B&T,Bridges and Tunnels,,10.218,10.218,1/1/2007, ,OPEB Current Payment,Labor Expense,2007,10.218
B&T,Bridges and Tunnels,,18.204,18.204,1/1/2007, ,Pensions,Labor Expense,2007,18.204
B&T,Bridges and Tunnels,,17.742,17.742,1/1/2007, ,Other Fringe Benefits,Labor Expense,2007,17.742
B&T,Bridges and Tunnels,,-6.806,-6.806,1/1/2007, ,Reimbursable Overhead,Labor Expense,2007,-6.806
B&T,Bridges and Tunnels,,0,0,1/1/2007, ,Electric Power,Non-labor Expense,2007,0
B&T,Bridges and Tunnels,,0,0,1/1/2007, ,Fuel,Non-labor Expense,2007,0
B&T,Bridges and Tunnels,,9.126,9.126,1/1/2007, ,Insurance,Non-labor Expense,2007,9.126
B&T,Bridges and Tunnels,,0,0,1/1/2007, ,Claims,Non-labor Expense,2007,0
B&T,Bridges and Tunnels,,0,0,1/1/2007, ,Paratransit Service Contracts,Non-labor Expense,2007,0
B&T,Bridges and Tunnels,,135.4,135.4,1/1/2007, ,Maintenance and Other Operating Contracts,Non-labor Expense,2007,135.4
B&T,Bridges and Tunnels,,12.366,12.366,1/1/2007, ,Professional Service Contracts,Non-labor Expense,2007,12.366
B&T,Bridges and Tunnels,,14.008,14.008,1/1/2007, ,Materials and Supplies,Non-labor Expense,2007,14.008
B&T,Bridges and Tunnels,,1.37,1.37,1/1/2007, ,Other Business Expenses,Non-labor Expense,2007,1.37
LIRR,Long Island Rail Road,,384,384,1/1/2007, ,Payroll,Labor Expense,2007,384
LIRR,Long Island Rail Road,,84.1,84.1,1/1/2007, ,Overtime,Labor Expense,2007,84.1
LIRR,Long Island Rail Road,,66.7,66.7,1/1/2007, ,Health and Welfare,Labor Expense,2007,66.7
LIRR,Long Island Rail Road,,40.4,40.4,1/1/2007, ,OPEB Current Payment,Labor Expense,2007,40.4
LIRR,Long Island Rail Road,,113.9,113.9,1/1/2007, ,Pensions,Labor Expense,2007,113.9
LIRR,Long Island Rail Road,,81.6,81.6,1/1/2007, ,Other Fringe Benefits,Labor Expense,2007,81.6
LIRR,Long Island Rail Road,,-26.8,-26.8,1/1/2007, ,Reimbursable Overhead,Labor Expense,2007,-26.8
LIRR,Long Island Rail Road,,70.7,70.7,1/1/2007, ,Electric Power,Non-labor Expense,2007,70.7
LIRR,Long Island Rail Road,,16.3,16.3,1/1/2007, ,Fuel,Non-labor Expense,2007,16.3
LIRR,Long Island Rail Road,,17.3,17.3,1/1/2007, ,Insurance,Non-labor Expense,2007,17.3
LIRR,Long Island Rail Road,,11,11,1/1/2007, ,Claims,Non-labor Expense,2007,11
LIRR,Long Island Rail Road,,65.1,65.1,1/1/2007, ,Maintenance and Other Operating Contracts,Non-labor Expense,2007,65.1
LIRR,Long Island Rail Road,,16.8,16.8,1/1/2007, ,Professional Service Contracts,Non-labor Expense,2007,16.8
LIRR,Long Island Rail Road,,100,100,1/1/2007, ,Materials and Supplies,Non-labor Expense,2007,100
LIRR,Long Island Rail Road,,5.3,5.3,1/1/2007, ,Other Business Expenses,Non-labor Expense,2007,5.3
Metro-North,Metro-North Railroad,,358.9,358.9,1/1/2007, ,Payroll,Labor Expense,2007,358.9
Metro-North,Metro-North Railroad,,49.1,49.1,1/1/2007, ,Overtime,Labor Expense,2007,49.1
Metro-North,Metro-North Railroad,,68.8,68.8,1/1/2007, ,Health and Welfare,Labor Expense,2007,68.8
Metro-North,Metro-North Railroad,,0,0,1/1/2007, ,OPEB Current Payment,Labor Expense,2007,0
Metro-North,Metro-North Railroad,,40.6,40.6,1/1/2007, ,Pensions,Labor Expense,2007,40.6
Metro-North,Metro-North Railroad,,72.1,72.1,1/1/2007, ,Other Fringe Benefits,Labor Expense,2007,72.1
Metro-North,Metro-North Railroad,,-40.8,-40.8,1/1/2007, ,Reimbursable Overhead,Labor Expense,2007,-40.8
Metro-North,Metro-North Railroad,,61,61,1/1/2007, ,Electric Power,Non-labor Expense,2007,61
Metro-North,Metro-North Railroad,,15.1,15.1,1/1/2007, ,Fuel,Non-labor Expense,2007,15.1
Metro-North,Metro-North Railroad,,13.1,13.1,1/1/2007, ,Insurance,Non-labor Expense,2007,13.1
Metro-North,Metro-North Railroad,,10.8,10.8,1/1/2007, ,Claims,Non-labor Expense,2007,10.8
Metro-North,Metro-North Railroad,,80.6,80.6,1/1/2007, ,Maintenance and Other Operating Contracts,Non-labor Expense,2007,80.6
Metro-North,Metro-North Railroad,,19.2,19.2,1/1/2007, ,Professional Service Contracts,Non-labor Expense,2007,19.2
Metro-North,Metro-North Railroad,,75.7,75.7,1/1/2007, ,Materials and Supplies,Non-labor Expense,2007,75.7
Metro-North,Metro-North Railroad,,11.9,11.9,1/1/2007, ,Other Business Expenses,Non-labor Expense,2007,11.9
HQ,MTA Headquarters,,114.94,114.94,1/1/2007, ,Payroll,Labor Expense,2007,114.94
HQ,MTA Headquarters,,12.439,12.439,1/1/2007, ,Overtime,Labor Expense,2007,12.439
HQ,MTA Headquarters,,14.584,14.584,1/1/2007, ,Health and Welfare,Labor Expense,2007,14.584
HQ,MTA Headquarters,,4.3,4.3,1/1/2007, ,OPEB Current Payment,Labor Expense,2007,4.3
HQ,MTA Headquarters,,15.851,15.851,1/1/2007, ,Pensions,Labor Expense,2007,15.851
HQ,MTA Headquarters,,3.947,3.947,1/1/2007, ,Other Fringe Benefits,Labor Expense,2007,3.947
HQ,MTA Headquarters,,-31.401,-31.401,1/1/2007, ,Reimbursable Overhead,Labor Expense,2007,-31.401
HQ,MTA Headquarters,,0,0,1/1/2007, ,Electric Power,Non-labor Expense,2007,0
HQ,MTA Headquarters,,0,0,1/1/2007, ,Fuel,Non-labor Expense,2007,0
HQ,MTA Headquarters,,10.213,10.213,1/1/2007, ,Insurance,Non-labor Expense,2007,10.213
HQ,MTA Headquarters,,0,0,1/1/2007, ,Claims,Non-labor Expense,2007,0
HQ,MTA Headquarters,,0,0,1/1/2007, ,Paratransit Service Contracts,Non-labor Expense,2007,0
HQ,MTA Headquarters,,22.844,22.844,1/1/2007, ,Maintenance and Other Operating Contracts,Non-labor Expense,2007,22.844
