Business Line (group),Business Line,Date Prefix,Expense Type Note,Adjustments Outcome,No-Adjustments Value,Date,Description1,Revenue and Expense Type,Year,Value
B&T,Bridges and Tunnels,,"Labor expenses include salaries, wages, and fringe benefits such as healthcare and pension contributions.",113.837,113.837,1/1/2007,Payroll,Labor Expense,2007,113.837
B&T,Bridges and Tunnels,,"Labor expenses include salaries, wages, and fringe benefits such as healthcare and pension contributions.",25.146,25.146,1/1/2007,Overtime,Labor Expense,2007,25.146
B&T,Bridges and Tunnels,,"Labor expenses include salaries, wages, and fringe benefits such as healthcare and pension contributions.",18.415,18.415,1/1/2007,Health and Welfare,Labor Expense,2007,18.415
B&T,Bridges and Tunnels,,"Labor expenses include salaries, wages, and fringe benefits such as healthcare and pension contributions.",10.218,10.218,1/1/2007,OPEB Current Payment,Labor Expense,2007,10.218
B&T,Bridges and Tunnels,,"Labor expenses include salaries, wages, and fringe benefits such as healthcare and pension contributions.",18.204,18.204,1/1/2007,Pensions,Labor Expense,2007,18.204
B&T,Bridges and Tunnels,,"Labor expenses include salaries, wages, and fringe benefits such as healthcare and pension contributions.",17.742,17.742,1/1/2007,Other Fringe Benefits,Labor Expense,2007,17.742
B&T,Bridges and Tunnels,,"Labor expenses include salaries, wages, and fringe benefits such as healthcare and pension contributions.",-6.806,-6.806,1/1/2007,Reimbursable Overhead,Labor Expense,2007,-6.806
B&T,Bridges and Tunnels,,"Non-labor expenses include fuel, materials, and service contracts required to operate the agency.",0,0,1/1/2007,Electric Power,Non-labor Expense,2007,0
B&T,Bridges and Tunnels,,"Non-labor expenses include fuel, materials, and service contracts required to operate the agency.",0,0,1/1/2007,Fuel,Non-labor Expense,2007,0
B&T,Bridges and Tunnels,,"Non-labor expenses include fuel, materials, and service contracts required to operate the agency.",9.126,9.126,1/1/2007,Insurance,Non-labor Expense,2007,9.126
B&T,Bridges and Tunnels,,"Non-labor expenses include fuel, materials, and service contracts required to operate the agency.",0,0,1/1/2007,Claims,Non-labor Expense,2007,0
B&T,Bridges and Tunnels,,"Non-labor expenses include fuel, materials, and service contracts required to operate the agency.",0,0,1/1/2007,Paratransit Service Contracts,Non-labor Expense,2007,0
B&T,Bridges and Tunnels,,"Non-labor expenses include fuel, materials, and service contracts required to operate the agency.",135.4,135.4,1/1/2007,Maintenance and Other Operating Contracts,Non-labor Expense,2007,135.4
B&T,Bridges and Tunnels,,"Non-labor expenses include fuel, materials, and service contracts required to operate the agency.",12.366,12.366,1/1/2007,Professional Service Contracts,Non-labor Expense,2007,12.366
B&T,Bridges and Tunnels,,"Non-labor expenses include fuel, materials, and service contracts required to operate the agency.",14.008,14.008,1/1/2007,Materials and Supplies,Non-labor Expense,2007,14.008
B&T,Bridges and Tunnels,,"Non-labor expenses include fuel, materials, and service contracts required to operate the agency.",1.37,1.37,1/1/2007,Other Business Expenses,Non-labor Expense,2007,1.37
LIRR,Long Island Rail Road,,"Labor expenses include salaries, wages, and fringe benefits such as healthcare and pension contributions.",384,384,1/1/2007,Payroll,Labor Expense,2007,384
LIRR,Long Island Rail Road,,"Labor expenses include salaries, wages, and fringe benefits such as healthcare and pension contributions.",84.1,84.1,1/1/2007,Overtime,Labor Expense,2007,84.1
LIRR,Long Island Rail Road,,"Labor expenses include salaries, wages, and fringe benefits such as healthcare and pension contributions.",66.7,66.7,1/1/2007,Health and Welfare,Labor Expense,2007,66.7
LIRR,Long Island Rail Road,,"Labor expenses include salaries, wages, and fringe benefits such as healthcare and pension contributions.",40.4,40.4,1/1/2007,OPEB Current Payment,Labor Expense,2007,40.4
LIRR,Long Island Rail Road,,"Labor expenses include salaries, wages, and fringe benefits such as healthcare and pension contributions.",113.9,113.9,1/1/2007,Pensions,Labor Expense,2007,113.9
