Fifty2525,Business Line (group),Business Line,Date Prefix,Revenue Type Note,Adjustments Outcome,No-Adjustments Value,Date,Framework Selection Calculation,Description1,Revenue and Expense Type,Year,Value
Fares and Other Operating Revenue,B&T,Bridges and Tunnels,,"Includes reimbursements from New York City for public school student and senior fares and for the provision of paratransit service. Also includes all other operating revenues from rental income, advertising, and other miscellaneous sources.",12.807,12.807,1/1/2007,Other Operating Revenue,Other Operating Revenue,Other Operating Revenue,2007,12.807
Fares and Other Operating Revenue,LIRR,Long Island Rail Road,,Includes farebox revenue and unused fare media.,479.4,479.4,1/1/2007,Fare Revenue,Farebox Revenue,Fare Revenue,2007,479.4
Fares and Other Operating Revenue,LIRR,Long Island Rail Road,,"Includes reimbursements from New York City for public school student and senior fares and for the provision of paratransit service. Also includes all other operating revenues from rental income, advertising, and other miscellaneous sources.",33.4,33.4,1/1/2007,Other Operating Revenue,Other Operating Revenue,Other Operating Revenue,2007,33.4
General Taxpayer Subsidies,LIRR,Long Island Rail Road,,"Revenues from Dedicated Taxes, Payroll Mobility taxes and MTA Aid, State and City subsidies for the Subway Action Plan, and the NYC Transportation Assistance Fund, as well as State and Local Subsidies. Also includes revenues from funding agreements with New York City for the operation of the MTA Bus Company and Staten Island Railway and with the Connecticut Department of Transportation for the operation of the New Haven Line of the Metro-North Railroad.",12.9391855,12.9391855,1/1/2007,Dedicated Taxes and Subsidies,AMTAP,Dedicated Taxes and Subsidies,2007,12.9391855
General Taxpayer Subsidies,Metro-North,Metro-North Railroad,,"Revenues from Dedicated Taxes, Payroll Mobility taxes and MTA Aid, State and City subsidies for the Subway Action Plan, and the NYC Transportation Assistance Fund, as well as State and Local Subsidies. Also includes revenues from funding agreements with New York City for the operation of the MTA Bus Company and Staten Island Railway and with the Connecticut Department of Transportation for the operation of the New Haven Line of the Metro-North Railroad.",7.060814496,7.060814496,1/1/2007,Dedicated Taxes and Subsidies,AMTAP,Dedicated Taxes and Subsidies,2007,7.060814496
General Taxpayer Subsidies,Metro-North,Metro-North Railroad,,"Revenues from Dedicated Taxes, Payroll Mobility taxes and MTA Aid, State and City subsidies for the Subway Action Plan, and the NYC Transportation Assistance Fund, as well as State and Local Subsidies. Also includes revenues from funding agreements with New York City for the operation of the MTA Bus Company and Staten Island Railway and with the Connecticut Department of Transportation for the operation of the New Haven Line of the Metro-North Railroad.",66.2,66.2,1/1/2007,Dedicated Taxes and Subsidies,CDOT Subsidy,Dedicated Taxes and Subsidies,2007,66.2
General Taxpayer Subsidies,LIRR,Long Island Rail Road,,"Revenues from Dedicated Taxes, Payroll Mobility taxes and MTA Aid, State and City subsidies for the Subway Action Plan, and the NYC Transportation Assistance Fund, as well as State and Local Subsidies. Also includes revenues from funding agreements with New York City for the operation of the MTA Bus Company and Staten Island Railway and with the Connecticut Department of Transportation for the operation of the New Haven Line of the Metro-North Railroad.",1.617398188,1.617398188,1/1/2007,Dedicated Taxes and Subsidies,Investment Income,Dedicated Taxes and Subsidies,2007,1.617398188
General Taxpayer Subsidies,Metro-North,Metro-North Railroad,,"Revenues from Dedicated Taxes, Payroll Mobility taxes and MTA Aid, State and City subsidies for the Subway Action Plan, and the NYC Transportation Assistance Fund, as well as State and Local Subsidies. Also includes revenues from funding agreements with New York City for the operation of the MTA Bus Company and Staten Island Railway and with the Connecticut Department of Transportation for the operation of the New Haven Line of the Metro-North Railroad.",,,1/1/2007,Dedicated Taxes and Subsidies,CDOT Subsidy for Metro-North Railroad,Dedicated Taxes and Subsidies,2007,
General Taxpayer Subsidies,MTA Bus,MTA Bus Company,,"Revenues from Dedicated Taxes, Payroll Mobility taxes and MTA Aid, State and City subsidies for the Subway Action Plan, and the NYC Transportation Assistance Fund, as well as State and Local Subsidies. Also includes revenues from funding agreements with New York City for the operation of the MTA Bus Company and Staten Island Railway and with the Connecticut Department of Transportation for the operation of the New Haven Line of the Metro-North Railroad.",245,245,1/1/2007,Dedicated Taxes and Subsidies,City Subsidy for MTA Bus Company,Dedicated Taxes and Subsidies,2007,245
General Taxpayer Subsidies,New York City Transit,Staten Island Railway,,"Revenues from Dedicated Taxes, Payroll Mobility taxes and MTA Aid, State and City subsidies for the Subway Action Plan, and the NYC Transportation Assistance Fund, as well as State and Local Subsidies. Also includes revenues from funding agreements with New York City for the operation of the MTA Bus Company and Staten Island Railway and with the Connecticut Department of Transportation for the operation of the New Haven Line of the Metro-North Railroad.",0,0,1/1/2007,Dedicated Taxes and Subsidies,City Subsidy for Staten Island Railway,Dedicated Taxes and Subsidies,2007,0
