month,division,line,period,num_passengers,additional train time
2015-01,A DIVISION,5,peak,4127289.3,2.49
2015-01,A DIVISION,6,offpeak,7306562.7,1.12
2015-01,A DIVISION,3,offpeak,3418302.9,1.03
2015-01,A DIVISION,2,peak,4482149.6,1.63
2015-01,A DIVISION,7,peak,4665763.6,1.77
2015-01,A DIVISION,4,offpeak,5221827.5,1.46
2015-01,A DIVISION,3,peak,3338797.5,1.31
2015-01,A DIVISION,4,peak,5225771.0,2.29
2015-01,A DIVISION,2,offpeak,4411048.4,1.47
2015-01,A DIVISION,5,offpeak,3689885.5,1.70
2015-01,A DIVISION,S 42nd,peak,1462829.7,0.47
2015-01,A DIVISION,1,offpeak,5140615.2,0.84
2015-01,A DIVISION,7,offpeak,4435191.8,0.68
2015-01,A DIVISION,6,peak,7282062.0,1.70
2015-01,A DIVISION,1,peak,4861190.9,1.01
2015-01,A DIVISION,S 42nd,offpeak,1198411.0,0.41
2015-02,A DIVISION,S 42nd,offpeak,1219866.2,0.38
2015-02,A DIVISION,2,offpeak,4590496.9,1.76
2015-02,A DIVISION,6,offpeak,7452608.7,1.25
2015-02,A DIVISION,S 42nd,peak,1688694.2,0.45
2015-02,A DIVISION,1,peak,5925282.9,1.35
2015-02,A DIVISION,6,peak,8218146.3,2.16
2015-02,A DIVISION,3,offpeak,3611183.9,1.22
2015-02,A DIVISION,1,offpeak,5684578.1,0.96
2015-02,A DIVISION,5,offpeak,3756293.8,2.11
2015-02,A DIVISION,2,peak,5051094.8,1.99
2015-02,A DIVISION,4,offpeak,5379076.8,1.63
2015-02,A DIVISION,3,peak,3783489.0,1.58
2015-02,A DIVISION,4,peak,5825921.2,2.42
2015-02,A DIVISION,5,peak,4556294.0,2.86
2015-02,A DIVISION,7,offpeak,3539102.4,1.14
2015-02,A DIVISION,7,peak,4030269.6,1.92
2015-03,A DIVISION,2,offpeak,5384494.6,1.71
2015-03,A DIVISION,6,peak,10058762.0,1.89
2015-03,A DIVISION,6,offpeak,9083183.4,1.36
2015-03,A DIVISION,5,peak,5377261.3,2.95
2015-03,A DIVISION,S 42nd,offpeak,1474805.5,0.38
2015-03,A DIVISION,7,offpeak,4017492.3,1.26
2015-03,A DIVISION,4,peak,6978588.5,2.62
2015-03,A DIVISION,2,peak,6052194.5,1.93
2015-03,A DIVISION,5,offpeak,4254088.5,2.22
